"","Player","Team","Season","Position","Minutes","Goals Added"
"","Eric Ayuk","PHI","2015","W","1446","0.92"
"","Josh Williams","NYC, TOR","2015","CB","1612","0.92"
"","Brandon Vincent","CHI","2018","FB","3065","0.92"
"","Masato Kudo","VAN","2016","ST","954","0.92"
"","Sainey Nyassi","DCU","2013","W","744","0.91"
"","Jeremy Brockie","TOR","2013","ST","1166","0.91"
"","Aaron Schoenfeld","CLB","2015","ST","300","0.91"
"","Chris Klute","CLB","2015","FB","908","0.91"
"","Héctor Jiménez","CLB","2015","FB","1222","0.91"
"","Romario Ibarra","MIN","2018","W","320","0.91"
"","Jalil Anibaba","NER","2018","CB","2949","0.91"
"","Devon Sandoval","RSL","2013","ST","965","0.91"
"","Samuel Piette","MTL","2017","DM","1037","0.91"
"","Ben Zemanski","POR","2016","DM","1092","0.91"
"","A.J. DeLaGarza","HOU","2019","FB","2192","0.90"
"","Mason Toye","MIN","2018","ST","444","0.90"
"","Ambroise Oyongo","NYRB","2014","FB","1132","0.90"
"","Matt Polster","CHI","2015","CM","2600","0.90"
"","Josh Williams","CLB","2019","CB","1398","0.90"
"","Soony Saad","SKC","2013","W","1469","0.90"
"","Adam Nemec","NYC","2015","ST","617","0.90"
"","Tommy Thompson","SJE","2015","CM","559","0.90"
"","Ryan Finley","CLB","2013","ST","514","0.90"
"","Marco Donadel","MTL","2017","DM","1523","0.90"
"","Nana Attakora","SJE","2013","CB","718","0.89"
"","Chad Barson","CLB","2013","FB","1732","0.89"
"","Jason Johnson","CHI","2015","ST","713","0.89"
"","Ben Zemanski","POR","2013","CM","1146","0.89"
"","Sal Zizzo","NYRB","2016","FB","2116","0.89"
"","Héctor Jiménez","CLB","2017","FB","1464","0.89"
"","João Pedro","LAG","2017","DM","2488","0.89"
"","Justen Glad","RSL","2015","CB","595","0.89"
"","Sam Nicholson","MIN","2017","W","695","0.88"
"","Jared Watts","COL","2015","CB","1141","0.88"
"","Robbie Rogers","LAG","2013","W","638","0.88"
"","David Guzmán","POR, CLB","2019","DM","1633","0.88"
"","Ambroise Oyongo","MTL","2017","FB","1073","0.88"
"","Eric Gehrig","CHI","2015","CB","2375","0.88"
"","Alain Rochat","VAN, DCU","2013","FB","1481","0.88"
"","Tony Alfaro","SEA","2017","CB","885","0.88"
"","Soni Mustivar","SKC","2016","DM","2270","0.88"
"","Arturo Álvarez","HOU","2018","W","470","0.88"
"","Warren Creavalle","TOR, HOU","2014","FB","1622","0.88"
"","Alvas Powell","POR","2013","FB","418","0.88"
"","Michael Mancienne","NER","2018","CB","980","0.87"
"","Baggio Husidic","LAG","2016","DM","1721","0.87"
"","Leo Fernandes","PHI","2016","W","316","0.87"
"","Bobby Burling","COL","2016","CB","1526","0.87"
"","Mauro Rosales","FCD","2016","W","667","0.87"
"","George Fochive","POR","2015","DM","739","0.87"
"","Mikey Lopez","NYC","2016","CM","769","0.87"
"","Cole Bassett","COL","2019","CM","1155","0.87"
"","Nouhou Tolo","SEA","2018","FB","2211","0.87"
"","Armando Cooper","TOR","2017","CM","995","0.86"
"","Tommy Redding","ORL","2016","CB","1479","0.86"
"","Daigo Kobayashi","NER","2015","DM","1225","0.86"
"","Keegan Rosenberry","PHI","2017","FB","1144","0.86"
"","Michael Petrasso","MTL","2018","FB","867","0.86"
"","DeJuan Jones","NER","2019","FB","1452","0.85"
"","Servando Carrasco","LAG","2018","CM","1115","0.85"
"","Kortne Ford","COL","2018","CB","1240","0.85"
"","Jeff Parke","DCU","2014","CB","1259","0.85"
"","Romario Ibarra","MIN","2019","ST","420","0.85"
"","Mauricio Pereyra","ORL","2019","CM","433","0.85"
"","Amro Tarek","NYRB","2019","CB","1614","0.85"
"","Alexander López","HOU","2015","W","1017","0.85"
"","Saad Abdul-Salaam","SKC","2017","FB","998","0.85"
"","Eloi Amagat","NYC","2018","CM","468","0.85"
"","Saad Abdul-Salaam","SEA","2019","FB","1214","0.84"
"","Zarek Valentin","POR","2019","FB","1813","0.84"
"","Roy Miller","NYRB","2013","FB","1483","0.84"
"","Nick Lima","SJE","2017","FB","1944","0.84"
"","Michael Harrington","COL","2015","FB","1364","0.84"
"","David Arshakyan","CHI","2016","ST","366","0.84"
"","Alex Crognale","CLB","2017","CB","1164","0.84"
"","Dominic Oduro","MTL","2017","W","1555","0.84"
"","Frankie Amaya","CIN","2019","CM","1349","0.84"
"","Leonardo","HOU","2017","CB","2844","0.84"
"","Joao Plata","RSL","2019","W","407","0.84"
"","Jozy Altidore","TOR","2018","ST","931","0.84"
"","Samuel Piette","MTL","2019","DM","2429","0.83"
"","Rafael Ramos","ORL","2016","FB","1103","0.83"
"","Magnus Wolff Eikrem","SEA","2018","W","676","0.83"
"","Rolando Escobar","FCD","2015","ST","467","0.83"
"","Michael Parkhurst","ATL","2019","FB","1584","0.83"
"","Mix Diskerud","NYC","2016","CM","878","0.83"
"","David Horst","HOU","2014","CB","2856","0.83"
"","Jacob Peterson","ATL","2017","W","215","0.83"
"","Jonathan Campbell","SEA","2019","CB","388","0.83"
"","Eric Brunner","HOU","2014","CB","331","0.82"
"","Justin Hoyte","CIN","2019","FB","1619","0.82"
"","Shane O'Neill","ORL","2019","CB","939","0.82"
"","Carlos Salcedo","RSL","2014","CB","878","0.82"
"","Andoni Iraola","NYC","2015","FB","816","0.82"
"","Danny Wilson","COL","2019","DM","1470","0.82"
"","Jason Hernandez","NYC","2016","CB","2472","0.82"
"","Marlon Hairston","COL","2017","W","2810","0.82"
"","Fabian Herbers","PHI","2018","W","471","0.82"
"","Jason Hernandez","SJE","2014","CB","1870","0.81"
"","Jared Watts","COL","2014","CM","1229","0.81"
"","Carlos Fierro","SJE","2019","W","266","0.81"
"","Seth Sinovic","SKC","2017","FB","3103","0.81"
"","Hassoun Camara","MTL","2017","FB","1456","0.81"
"","Pablo Ruiz","RSL","2018","FB","592","0.81"
"","Erik Hurtado","VAN","2018","ST","559","0.81"
"","Kemar Lawrence","NYRB","2018","FB","2661","0.80"
"","Molham Babouli","TOR","2016","ST","742","0.80"
"","Bright Dike","TOR","2013","ST","457","0.80"
"","Alexi Gómez","MIN","2018","FB","1430","0.80"
"","Leonardo González","SEA","2015","FB","797","0.80"
"","Lovel Palmer","RSL","2013","FB","1311","0.79"
"","Handwalla Bwana","SEA","2019","W","659","0.79"
"","Tom Heinemann","VAN","2013","ST","359","0.79"
"","Chad Barson","CLB","2014","FB","840","0.79"
"","Russell Teibert","VAN","2017","DM","791","0.79"
"","Ty Harden","SJE","2014","CB","1334","0.79"
"","Josue Soto","CHV","2013","FB","1259","0.79"
"","Jaylin Lindsey","SKC","2018","FB","604","0.79"
"","Drew Moor","COL","2015","FB","2147","0.79"
"","Daniele Paponi","MTL","2013","ST","882","0.78"
"","Bobby Convey","SKC, TOR","2013","W","2037","0.78"
"","Andrew Gutman","CIN","2019","FB","537","0.78"
"","Yohan Croizet","SKC","2019","ST","1220","0.78"
"","Hérculez Gómez","SEA","2016","W","935","0.78"
"","Victor Giro","VAN","2019","W","907","0.78"
"","Matthew Watson","CHI","2015","CM","731","0.77"
"","Eduardo Sosa","CLB","2018","AM","443","0.77"
"","Sean Okoli","NYC","2017","ST","500","0.77"
"","Chad Barrett","SJE","2016","ST","639","0.77"
"","Jordan Hamilton","TOR","2017","ST","184","0.77"
"","Victor Ulloa","FCD","2017","DM","1355","0.77"
"","Ebenezer Ofori","NYC","2019","CM","1414","0.77"
"","Péguy Luyindula","NYRB","2013","ST","985","0.76"
"","Carlos Gruezo","FCD","2016","DM","2402","0.76"
"","Miguel Ibarra","MIN","2017","W","1923","0.76"
"","Hernán Bernardello","MTL","2014","DM","896","0.76"
"","Jordan Allen","RSL","2016","W","1230","0.76"
"","Russell Teibert","VAN","2018","CM","1786","0.76"
"","Artur","CLB","2019","DM","2702","0.76"
"","Brent Kallman","MIN","2018","CB","2161","0.76"
"","Michael Boxall","MIN","2017","CB","1166","0.76"
"","Norberto Paparatto","POR","2015","CB","487","0.76"
"","Jack Jewsbury","POR","2015","DM","1861","0.76"
"","Ike Opara","SKC","2013","CB","1529","0.76"
"","Hernán Bernardello","MTL","2013","CM","670","0.76"
"","Ashley Cole","LAG","2017","FB","2707","0.76"
"","Russell Canouse","DCU","2017","DM","930","0.75"
"","Mikey Ambrose","ATL","2018","FB","795","0.75"
"","Dominique Badji","COL","2015","ST","879","0.75"
"","Michael Farfan","DCU","2015","W","740","0.75"
"","Walker Zimmerman","FCD","2015","CB","1209","0.75"
"","Oniel Fisher","SEA","2015","FB","941","0.75"
"","Greg Garza","CIN","2019","FB","1000","0.75"
"","Patrick Ianni","CHI","2014","CB","1100","0.75"
"","Kellyn Acosta","FCD","2013","FB","1083","0.74"
"","Greg Cochrane","LAG","2013","FB","919","0.74"
"","A.J. Soares","NER","2013","CB","1604","0.74"
"","Botond Baráth","SKC","2019","CB","1917","0.74"
"","Nick Hagglund","TOR","2016","CB","944","0.74"
"","Caleb Calvert","COL","2017","ST","440","0.74"
"","Michael Salazar","MTL","2016","W","794","0.74"
"","Lass Bangoura","VAN","2019","W","704","0.74"
"","Aaron Long","NYRB","2017","CB","2889","0.74"
"","Carlos Carmona","ATL","2017","DM","2897","0.74"
"","Benji Joya","CHI","2014","W","697","0.74"
"","Omar González","TOR","2019","CB","1379","0.74"
"","Tommy Thompson","SJE","2016","CM","905","0.74"
"","Agustín Viana","CLB","2013","FB","1613","0.74"
"","Steve Neumann","NER","2014","W","668","0.74"
"","Andreas Ivan","NYRB","2019","W","560","0.73"
"","Eric Miller","MTL","2015","FB","566","0.73"
"","Jordan Allen","RSL","2015","W","1202","0.73"
"","Warren Creavalle","PHI","2018","DM","789","0.73"
"","Martin Ponce","CHV","2013","CM","201","0.73"
"","Perry Kitchen","LAG","2019","DM","626","0.73"
"","Darwin Cerén","HOU","2019","DM","613","0.73"
"","DaMarcus Beasley","HOU","2019","FB","1129","0.73"
"","Daniel Royer","NYRB","2016","W","310","0.73"
"","Bernardo Añor","SKC","2015","W","551","0.73"
"","Fernando Bob","MIN","2018","DM","667","0.72"
"","Federico Higuaín","CLB","2019","AM","1227","0.72"
"","Amadou Dia","MTL, SKC","2016","FB","982","0.72"
"","Jacob Shaffelburg","TOR","2019","W","716","0.72"
"","Kevin Kratz","ATL","2018","CM","654","0.72"
"","Ike Opara","SKC","2015","CB","573","0.72"
"","Aaron Wheeler","PHI","2013","ST","189","0.72"
"","Marlon Hairston","COL","2014","W","1097","0.71"
"","Jared Watts","COL","2017","CB","1604","0.71"
"","Diego Rubio","SKC","2017","ST","1120","0.71"
"","Abdoulie Mansally","RSL","2015","FB","1440","0.71"
"","Luiz Fernando","MIN","2018","DM","642","0.71"
"","Chad Barson","CLB","2016","CB","360","0.71"
"","Marcelo Silva","RSL","2018","CB","1705","0.70"
"","Djordje Mihailovic","CHI","2018","AM","606","0.70"
"","Brek Shea","ORL","2015","FB","1583","0.70"
"","Drew Moor","TOR","2018","CB","621","0.70"
"","Victor Ulloa","FCD","2016","DM","1807","0.70"
"","Lovel Palmer","CHI","2015","FB","1953","0.70"
"","Brent Kallman","MIN","2019","CB","1420","0.70"
"","Brenden Aaronson","PHI","2019","AM","1848","0.70"
"","Josh Williams","TOR","2016","CB","993","0.70"
"","Paul Marie","SJE","2019","FB","409","0.70"
"","Andrés Flores","POR","2019","W","871","0.70"
"","Tomás Conechny","POR","2019","W","439","0.70"
"","Olmes García","RSL","2016","ST","1101","0.70"
"","Alphonso Davies","VAN","2016","W","344","0.70"
"","Kalif Alhassan","POR","2014","W","644","0.70"
"","David Estrada","DCU","2014","W","348","0.69"
"","Connor Lade","NYRB","2018","FB","1455","0.69"
"","Tajon Buchanan","NER","2019","W","450","0.69"
"","Dave Romney","LAG","2015","FB","286","0.69"
"","Danny Garcia","FCD","2014","AM","303","0.69"
"","Omar Browne","MTL","2019","W","626","0.69"
"","Matthew Fondy","CHV","2013","W","271","0.69"
"","Sam Johnson","RSL","2019","ST","1419","0.69"
"","Terry Dunfield","TOR","2013","CM","328","0.69"
"","Dom Dwyer","SKC","2013","ST","757","0.69"
"","David Guzmán","POR","2018","DM","1058","0.69"
"","Ben Sweat","NYC","2018","FB","2380","0.69"
"","Wandrille Lefevre","MTL","2015","CB","1070","0.69"
"","Connor Lade","NYRB","2016","FB","1512","0.69"
"","Ricardo Clark","CLB","2018","DM","697","0.69"
"","Tyson Wahl","CLB","2016","CB","1094","0.69"
"","Diego Rubio","SKC","2016","ST","410","0.69"
"","Karl Ouimette","MTL","2013","FB","593","0.69"
"","Collen Warner","MTL","2013","CM","978","0.68"
"","Bakary Soumaré","MTL","2015","CB","899","0.68"
"","Axel Sjöberg","COL","2017","CB","1777","0.68"
"","Russell Teibert","VAN","2016","DM","757","0.68"
"","Tim Parker","VAN","2015","CB","1369","0.68"
"","Steven Lenhart","SJE","2014","ST","979","0.68"
"","Álvaro Saborio","RSL","2013","ST","1452","0.67"
"","Daniel Lovitz","TOR","2014","W","713","0.67"
"","Sebastien Ibeagha","NYC","2018","CB","1907","0.67"
"","Deklan Wynne","COL","2019","CB","1011","0.67"
"","Robbie Findley","RSL","2014","ST","842","0.67"
"","Robert Earnshaw","CHI","2014","ST","203","0.67"
"","Adam Bedell","CLB","2014","ST","702","0.67"
"","Rafael García","LAG","2017","DM","1292","0.67"
"","Jámison Olave","RSL","2015","CB","1989","0.67"
"","Shkëlzen Gashi","COL","2017","W","1119","0.67"
"","Jonathan Lewis","NYC","2017","W","397","0.67"
"","Razvan Cocis","CHI","2014","CM","772","0.67"
"","Roland Alberg","PHI","2017","AM","988","0.67"
"","Marc Pelosi","SJE","2015","CM","704","0.67"
"","Marco Pappa","COL","2016","W","987","0.67"
"","David Edgar","VAN","2016","CB","777","0.66"
"","Donny Toia","ORL","2017","FB","2748","0.66"
"","Michael Harrington","CHI","2017","FB","859","0.66"
"","Álvaro Rey","TOR, CLB","2014","W","528","0.66"
"","Warren Creavalle","PHI","2017","DM","608","0.66"
"","Walker Zimmerman","FCD","2014","CB","850","0.66"
"","Ariel Lassiter","LAG","2017","W","337","0.66"
"","Matías Pérez García","SJE","2014","ST","422","0.66"
"","Philippe Senderos","HOU","2018","CB","683","0.66"
"","Chris Korb","DCU","2017","FB","1240","0.65"
"","Fidel Escobar","NYRB","2017","CB","535","0.65"
"","Kevin Alston","NER","2015","FB","1021","0.65"
"","Kevin Ellis","SKC","2017","CB","496","0.65"
"","David Texeira","FCD","2015","ST","1483","0.65"
"","Jorge Corrales","MTL, CHI","2019","FB","1248","0.65"
"","Gastón Sauro","CLB","2016","CB","984","0.65"
"","Joseph Greenspan","COL","2015","FB","203","0.65"
"","Alex Roldan","SEA","2018","W","830","0.65"
"","Joevin Jones","SEA","2019","W","1028","0.65"
"","Deybi Flores","VAN","2015","DM","493","0.65"
"","Erik Hurtado","VAN","2017","ST","586","0.65"
"","Tsubasa Endoh","TOR","2019","W","939","0.65"
"","Mark Bloom","TOR","2013","FB","582","0.65"
"","Omar Salgado","VAN","2014","W","234","0.64"
"","Raheem Edwards","CHI","2019","FB","269","0.64"
"","Latif Blessing","SKC","2017","W","1558","0.64"
"","Bismark Boateng","COL","2018","CM","1357","0.64"
"","Connor Lade","NYRB","2019","FB","933","0.64"
"","Chris Klute","POR","2016","FB","765","0.63"
"","Martín Rivero","COL","2013","AM","776","0.63"
"","Brandon Vázquez","ATL","2017","W","252","0.63"
"","Cristian Higuita","ORL","2017","CM","1669","0.63"
"","Carlyle Mitchell","VAN","2013","CB","1282","0.63"
"","Warren Creavalle","PHI","2016","DM","1964","0.63"
"","Marcel de Jong","VAN","2017","FB","850","0.63"
"","Héctor Jiménez","CLB","2016","FB","1363","0.63"
"","Krisztián Németh","NER","2017","ST","200","0.63"
"","Joshua Yaro","PHI","2016","CB","1420","0.63"
"","Khiry Shelton","NYC","2017","W","586","0.63"
"","Axel Sjöberg","COL","2019","CB","486","0.63"
"","Ignacio Maganto","LAG","2015","W","586","0.62"
"","Soony Saad","SKC","2017","W","497","0.62"
"","Gabriel Somi","NER","2018","FB","1119","0.62"
"","Connor Hallisey","SKC","2016","W","1172","0.62"
"","Paulo Nagamura","SKC","2013","CM","1587","0.62"
"","Kevin Garcia","HOU","2019","CB","916","0.62"
"","Teal Bunbury","SKC","2013","ST","277","0.62"
"","Will Johnson","POR","2015","DM","1114","0.62"
"","Paulo Nagamura","SKC","2016","CM","571","0.62"
"","Michael de Leeuw","CHI","2018","W","486","0.62"
"","Deian Boldor","MTL","2017","CB","448","0.62"
"","Ryan Hollingshead","FCD","2014","W","340","0.62"
"","Victor Giro","ORL","2018","FB","471","0.62"
"","Ruben Bover","NYRB","2014","W","308","0.61"
"","Kelyn Rowe","SKC, RSL","2019","W","972","0.61"
"","Walter Vílchez","CHV","2013","CB","1043","0.61"
"","Harry Shipp","SEA","2017","W","994","0.61"
"","Dániel Sallói","SKC","2017","W","1319","0.61"
"","Jorge Corrales","CHI","2018","FB","1419","0.61"
"","Karl Ouimette","MTL","2014","CB","901","0.61"
"","Marvin Chávez","COL, CHV","2014","W","816","0.61"
"","Seb Hines","ORL","2017","CB","489","0.60"
"","Andy Rose","SEA","2014","CM","634","0.60"
"","Stephen Keel","FCD","2013","CB","549","0.60"
"","Jerry Bengtson","NER","2014","W","269","0.60"
"","Shalrie Joseph","SEA","2013","CM","645","0.60"
"","Cory Burke","PHI","2019","ST","548","0.60"
"","Wilfried Moimbé","MIN","2019","FB","355","0.60"
"","Johan Kappelhof","CHI","2018","CB","2823","0.60"
"","Waylon Francis","SEA","2018","FB","642","0.60"
"","Chris Tierney","NER","2018","FB","343","0.60"
"","Fabian Herbers","PHI","2017","W","445","0.60"
"","Maxime Chanot","NYC","2016","CB","537","0.59"
"","Romario Williams","ATL, CLB","2019","ST","206","0.59"
"","Marcelo Saragosa","DCU","2013","DM","446","0.59"
"","Marcelo Silva","RSL","2017","CB","706","0.59"
"","Jorge Claros","SKC","2014","DM","463","0.59"
"","Zach Scott","SEA","2015","CB","1613","0.59"
"","Jordy Delem","SEA","2017","FB","808","0.59"
"","Erick","FCD","2013","DM","697","0.59"
"","Sal Zizzo","SKC","2014","W","1177","0.59"
"","Alvas Powell","CIN","2019","FB","1072","0.59"
"","Vincent Bezecourt","NYRB","2017","DM","217","0.59"
"","Chad Barrett","RSL","2017","ST","82","0.59"
"","Alex","CHI, HOU","2015","W","905","0.58"
"","Dillon Serna","COL","2015","W","761","0.58"
"","John Stertzer","RSL","2015","CM","946","0.58"
"","Jukka Raitala","MTL","2018","CB","2487","0.58"
"","Marquinhos Pedroso","FCD","2018","FB","1282","0.58"
"","Alan Gordon","LAG","2016","ST","818","0.58"
"","Quincy Amarikwa","SJE","2017","ST","194","0.58"
"","Jordan Smith","VAN","2015","FB","420","0.58"
"","Andy O'Brien","VAN","2013","CB","1503","0.57"
"","Amobi Okugo","ORL, SKC","2015","DM","1026","0.57"
"","Ashley Cole","LAG","2016","FB","2421","0.57"
"","Nouhou Tolo","SEA","2019","FB","914","0.57"
"","Maynor Figueroa","COL","2015","FB","971","0.57"
"","Oswaldo Minda","CHV","2014","CM","1729","0.57"
"","Heath Pearce","NYRB","2013","CB","1188","0.57"
"","Daniel Lovitz","TOR","2016","W","457","0.57"
"","Gianluca Busio","SKC","2018","CM","208","0.57"
"","Taylor Kemp","DCU","2013","FB","570","0.57"
"","Michael Seaton","DCU","2014","ST","68","0.56"
"","Chris Odoi-Atsem","DCU","2017","FB","537","0.56"
"","Grant Lillard","CHI","2018","CB","621","0.56"
"","Joaquín Ardáiz","VAN","2019","ST","504","0.56"
"","Donny Toia","RSL","2019","FB","2324","0.56"
"","Pedro Ribeiro","ORL","2016","CM","174","0.56"
"","Graham Zusi","SKC","2016","W","1792","0.56"
"","Rasheed Olabiyi","HOU","2015","CM","309","0.56"
"","Brandon Vázquez","ATL","2018","W","130","0.56"
"","Alex Roldan","SEA","2019","W","505","0.56"
"","Brett Levis","VAN","2018","FB","1032","0.56"
"","Brandon Vázquez","ATL","2019","ST","706","0.56"
"","Mark Sherrod","HOU","2014","ST","268","0.56"
"","Kenwyne Jones","ATL","2017","ST","594","0.55"
"","Zach Pfeffer","PHI","2014","AM","124","0.55"
"","Joe Gyau","CIN","2019","W","510","0.55"
"","Giancarlo González","LAG","2019","CB","1608","0.55"
"","Ty Harden","SJE","2013","FB","637","0.55"
"","Florentin Pogba","ATL","2019","CB","869","0.55"
"","Kyle Smith","ORL","2019","FB","1556","0.55"
"","Bradford Jamieson","LAG","2015","ST","491","0.55"
"","Aaron Maund","VAN, RSL","2017","CB","1250","0.55"
"","Jack McInerney","LAG","2017","ST","294","0.55"
"","Aly Ghazal","VAN","2018","DM","1591","0.55"
"","Luis Silva","SEA","2019","W","223","0.55"
"","Peter-Lee Vassell","LAFC","2019","CM","216","0.54"
"","Saër Sène","NYRB, NER","2014","W","558","0.54"
"","Wálter Martínez","SJE","2013","W","1013","0.54"
"","Thomas Piermayr","COL","2014","FB","1218","0.54"
"","Matthew Fondy","CHI, CHV","2014","ST","172","0.54"
"","Tesho Akindele","FCD","2018","W","680","0.54"
"","Jay Chapman","TOR","2017","CM","447","0.54"
"","José Villarreal","LAG","2017","AM","448","0.54"
"","Waylon Francis","CLB","2016","FB","1345","0.54"
"","Brian Ching","HOU","2013","ST","315","0.54"
"","Anthony Jackson-Hamel","MTL","2017","ST","1254","0.54"
"","Marcel de Jong","SKC","2015","FB","896","0.54"
"","Dan Gargan","SJE","2013","FB","662","0.53"
"","Francois Affolter","SJE","2017","CB","546","0.53"
"","Danilo Acosta","ORL","2019","FB","732","0.53"
"","Aaron Maund","VAN","2018","CB","998","0.53"
"","Jonathan Campbell","CHI","2017","CB","1140","0.53"
"","Gastón Fernández","POR","2015","AM","814","0.53"
"","Dilly Duka","CLB","2016","AM","676","0.53"
"","Fatai Alashe","SJE","2017","CM","1291","0.53"
"","Félix Borja","CHV","2014","ST","1061","0.53"
"","Ryan Telfer","TOR","2018","FB","896","0.53"
"","Marcel de Jong","VAN","2018","FB","1530","0.53"
"","Sheanon Williams","HOU","2016","FB","1961","0.53"
"","Micheal Azira","SEA","2014","CM","682","0.53"
"","Mark McKenzie","PHI","2019","CB","588","0.53"
"","Luis Solignac","CHI","2018","W","759","0.53"
"","Gedion Zelalem","SKC","2019","CM","479","0.52"
"","Quincy Amarikwa","DCU","2019","ST","559","0.52"
"","Tony Beltran","RSL","2016","FB","2676","0.52"
"","Connor Hallisey","SKC","2015","W","583","0.52"
"","Alex Martinez","SKC","2014","CM","470","0.52"
"","Stefan Aigner","COL","2017","AM","539","0.52"
"","Nélson Haedo Valdez","SEA","2015","ST","446","0.52"
"","Wells Thompson","CHI","2013","FB","591","0.52"
"","Greg Garza","ATL","2018","FB","1015","0.52"
"","Fred","PHI","2014","AM","404","0.52"
"","Jordan McCrary","SEA","2018","FB","988","0.52"
"","Lawrence Olum","MIN","2019","DM","622","0.52"
"","Karl Ouimette","NYRB","2016","CB","635","0.51"
"","Cristian Martínez","CLB","2018","W","895","0.51"
"","Nicolai Næss","CLB","2017","CB","1586","0.51"
"","Ronald Zubar","NYRB","2015","CB","767","0.51"
"","London Woodberry","NER","2016","CB","2236","0.51"
"","Frantz Pangop","MIN","2018","W","241","0.51"
"","Pablo Álvarez","NYC","2015","W","285","0.51"
"","Ahmed Kantari","TOR","2015","CB","1034","0.51"
"","Ricardo Clark","CLB","2019","DM","393","0.51"
"","Cristian Lobato","SKC","2018","FB","363","0.51"
"","Jalil Anibaba","SKC","2015","FB","1372","0.51"
"","Jamie Smith","COL","2013","CM","201","0.51"
"","Bradford Jamieson","LAG","2017","W","1109","0.50"
"","Luiz Camargo","HOU","2013","CM","151","0.50"
"","Jack Barmby","POR","2016","W","483","0.50"
"","Jeff Larentowicz","ATL","2017","DM","2812","0.50"
"","Seth Sinovic","SKC","2016","FB","580","0.50"
"","Josh Williams","CLB","2014","FB","1210","0.50"
"","RJ Allen","ORL","2018","FB","1084","0.50"
"","Richie Marquez","PHI","2017","CB","1315","0.50"
"","Andrés Ríos","SJE","2019","AM","331","0.50"
"","Cole Grossman","RSL","2014","DM","630","0.50"
"","Nicolas Hasler","TOR","2017","FB","790","0.50"
"","Kofi Opare","DCU","2018","CB","950","0.50"
"","Donovan Pines","DCU","2019","CB","869","0.50"
"","Conor Doyle","DCU","2015","W","1256","0.50"
"","Josh Williams","CLB","2018","CB","1625","0.49"
"","John Stertzer","RSL","2014","CM","312","0.49"
"","Sheanon Williams","VAN","2017","FB","1446","0.49"
"","James Riley","COL","2015","FB","1548","0.49"
"","Sanna Nyassi","SJE","2015","W","1606","0.49"
"","Andy O'Brien","VAN","2014","CB","2451","0.49"
"","Wil Trapp","CLB","2013","CM","1506","0.49"
"","Connor Maloney","CLB","2017","FB","133","0.49"
"","Danny Mwanga","COL","2013","CM","631","0.49"
"","Maxim Tissot","MTL","2016","FB","562","0.49"
"","Raymon Gaddis","PHI","2013","FB","2917","0.48"
"","Eric Miller","MIN","2018","FB","1282","0.48"
"","Logan Pause","CHI","2014","CM","726","0.48"
"","Sebastián Jaime","RSL","2014","ST","285","0.48"
"","Brian White","NYRB","2018","ST","250","0.48"
"","Stéfano Pinho","ORL","2018","W","735","0.48"
"","Rodney Wallace","NYC","2018","W","913","0.47"
"","Servando Carrasco","HOU","2014","DM","882","0.47"
"","Jhon Kennedy Hurtado","SEA","2013","CB","2431","0.47"
"","Corey Ashe","ORL","2015","FB","711","0.47"
"","Bashkim Kadrii","MIN","2017","W","477","0.47"
"","Marcus Epps","PHI","2017","W","802","0.47"
"","Brandon McDonald","RSL, DCU","2013","CB","1339","0.47"
"","José Guillermo Ortiz","DCU","2017","ST","723","0.47"
"","David Mateos","ORL","2015","CB","573","0.47"
"","Connor Maloney","CLB","2019","FB","874","0.47"
"","Chris Schuler","RSL","2016","CB","293","0.47"
"","Luis Gil","ORL, COL","2017","CM","959","0.47"
"","Femi Hollinger-Janzen","NER","2017","AM","201","0.47"
"","Gabriel Torres","COL","2013","ST","546","0.47"
"","J.J. Koval","SJE","2015","CM","832","0.47"
"","Aaron Schoenfeld","CLB","2013","ST","357","0.47"
"","Nat Borchers","POR","2016","CB","1960","0.47"
"","Nicolas Hasler","SKC, CHI","2019","FB","801","0.47"
"","Nick LaBrocca","COL","2015","DM","676","0.46"
"","André Horta","LAFC","2018","CM","380","0.46"
"","Jay Simpson","PHI","2017","ST","578","0.46"
"","Germán Mera","COL","2013","CB","649","0.46"
"","Anthony Jackson-Hamel","MTL","2016","ST","207","0.46"
"","Reggie Lambe","TOR","2013","W","1964","0.46"
"","Chad Barrett","NER","2013","W","701","0.46"
"","Corey Ashe","HOU","2014","FB","2035","0.46"
"","Mario Martínez","SEA","2013","W","553","0.46"
"","Agus","HOU","2016","CB","727","0.46"
"","Ramón Núñez","FCD","2013","DM","315","0.46"
"","Ager Aketxe","TOR","2018","CM","779","0.46"
"","André Horta","LAFC","2019","CM","205","0.46"
"","Anthony Jackson-Hamel","MTL","2018","ST","659","0.45"
"","Baggio Husidic","LAG","2018","CM","243","0.45"
"","Saad Abdul-Salaam","NYC","2018","FB","304","0.45"
"","Moisés Hernández","FCD","2014","FB","1221","0.45"
"","Martín Rivero","CHV","2014","DM","618","0.45"
"","Todd Dunivant","LAG","2014","FB","399","0.45"
"","Dairon Asprilla","POR","2016","W","529","0.45"
"","Drew Moor","TOR","2019","CB","1134","0.45"
"","Chris Durkin","DCU","2019","CM","723","0.44"
"","Nick LaBrocca","CHI","2016","W","583","0.44"
"","Edwin Cerrillo","FCD","2019","DM","1020","0.44"
"","Greg Cochrane","CHI","2014","FB","1153","0.44"
"","Charlie Davies","PHI, NER","2016","ST","464","0.44"
"","David Horst","RSL","2017","CB","971","0.44"
