"","Player","Team","Season","Position","Minutes","Goals Added"
"","Darlington Nagbe","ATL","2019","CM","3075","4.15"
"","Alexander Ring","NYC","2019","CM","3107","4.14"
"","Wil Trapp","CLB","2014","DM","2673","4.13"
"","Alejandro Bedoya","PHI","2017","DM","2693","4.13"
"","Fabián Espíndola","NYRB","2013","ST","2188","4.12"
"","Dilly Duka","CHI","2013","W","1898","4.11"
"","Hwang In-Beom","VAN","2019","CM","3084","4.10"
"","Rodney Wallace","NYC","2017","W","2053","4.09"
"","Omar González","LAG","2013","CB","2541","4.09"
"","Ethan Finlay","CLB","2014","W","2070","4.09"
"","Erick Torres","CHV","2014","ST","2680","4.07"
"","Maximiliano Urruti","FCD","2016","ST","2651","4.07"
"","Romell Quioto","HOU","2017","W","1392","4.07"
"","Jelle Van Damme","LAG","2016","CB","2631","4.07"
"","Clint Dempsey","SEA","2015","ST","1859","4.06"
"","Michael Barrios","FCD","2015","W","1890","4.06"
"","Didier Drogba","MTL","2016","ST","1784","4.05"
"","Ali Adnan","VAN","2019","FB","2646","4.05"
"","Jackson","TOR","2014","W","1981","4.05"
"","Ismael Tajouri-Shradi","NYC","2018","W","1686","4.02"
"","Aníbal Godoy","SJE","2017","CM","2287","4.02"
"","Shea Salinas","SJE","2014","W","2611","4.01"
"","Nicolás Lodeiro","SEA","2017","W","3177","4.01"
"","Charlie Davies","NER","2015","ST","2309","4.00"
"","Marvell Wynne","SJE","2015","FB","2977","4.00"
"","Dan Gargan","LAG","2014","FB","2557","4.00"
"","Cristian Roldan","SEA","2018","W","3330","3.98"
"","Nick DeLeon","DCU","2014","W","2892","3.98"
"","Matt Besler","SKC","2017","CB","2532","3.97"
"","Arturo Álvarez","CHI","2016","W","2049","3.97"
"","Kevin Doyle","COL","2016","ST","2343","3.97"
"","Jonathan Campbell","CHI","2016","CB","3050","3.96"
"","Laurent Ciman","MTL","2015","CB","2579","3.96"
"","Gilberto","TOR","2014","ST","2122","3.95"
"","Fabián Espíndola","DCU","2014","ST","2292","3.95"
"","Gerso","SKC","2018","W","1796","3.94"
"","Felipe","NYRB","2017","DM","3222","3.93"
"","Roger Espinoza","SKC","2016","CM","2898","3.92"
"","Jozy Altidore","TOR","2015","ST","1920","3.92"
"","Jair Benitez","FCD","2013","FB","2655","3.92"
"","Damir Kreilach","RSL","2018","DM","3034","3.91"
"","Diego Fagundez","NER","2013","W","2607","3.90"
"","Roger Espinoza","SKC","2017","CM","2898","3.89"
"","Kevin Molino","MIN","2017","W","2693","3.89"
"","Jack McInerney","MTL, PHI","2014","ST","2240","3.89"
